link,vacancy,company,city,experience,company_rating,wage_k,full_time,office,distant
https://adsrv.hh.ru/click?b=1003372&place=35&meta=hOujZmyIDA88a0fGA3vyeIifX2BU1swvU-xLovScqevWcN-bbf1nI0q-o4g146HFVS4f-t-kl9inc5s6enpJ24ds-9JprNkCO7BR1Paxr1uQhm582ny9cfjfQ2twwEXmewiIP9UbHReEdQinOaD_uRsINP1Ui0MFRgcbZCuJe54A0DFiEVmCeNJ57JgD7dlVuNi06-ZlpYt45DH5BhljUwGb65VhnJk_BKcpfpKJnlbXPqerOPxmxD-QbV80xQrdVRCB9seL4LrhxxYCaihAz1v_0I71Pm5tpY16bzTHQOI8B-LmMP1vo3ykEXg2eQvMTFgMEKuY-vnilhc6IHjlXUa5INbHcr1xN2uKRrztbF-AIoCdntpwkVDP1b-jE3DiKztbqDW6rVq-odbqPaJl4YIMXRSyWBuFNHFtqCCtRqwEYXgm3BpeERN3axpQhaKy3rZ4n0649Ek1Tqd9S-XjzttTQBm_6n8j31NP7vmZHQiHYLWXcdRklTzh_rds9GOuPz5Eupj72PLkiQMv6AeV6w%3D%3D&clickType=link_to_vacancy,Водитель со своим грузовым автомобилем,ИП Петрикин Александр Вячеславович,Москва,0,4.5,180.0,1,1,0
https://adsrv.hh.ru/click?b=993174&place=36&meta=yrdF1_f6OixtBdVxR6nlfFNlA7qstukJmK3PnJ_2-0LZ5bseGa2uhrW-ip1L7svP7X-YVmfiwmSImqviHdrCV83xiSxCCk1NQNo5zxFJyHAa_mOuosKQMSJD9sJO_X8NtmKdUVPG-C9dA11nF8qMfNROz2Lr24o-ktYH46fe2n3gCzQse0b78FhyrSH-ZFek2-5Qo32A6YaqOLcxqMoqArG8o6FhmMZt2SPAP_AHicHoYHWNyR-VPDvVPCx3I8AzdCPMdia11J_fdlJmKjwylhSVXlg6EKy6QK9JfL-tFRhh7TyL-_lLFIDAGt5V9rboZ7NuaPCsLgdc8MbOWTQIKz4itE67RrYZzCkYSa-0KRCTSQLLvyD4jNu43WdzLKY4tvdbOjW0zXawq5ZFvCg2pkTsDk0p69O4xRwkrYlbvWYVadpre8vm_x5PYT3jyQF8Cc1u8UCfn0bTMajldbH60qvQvRK523Y6sVvdE4yvH4lfN4LgLRYbYBm3rfg3jY-eK_M47TZ2HyVj-k-RV9myrg%3D%3D&clickType=link_to_vacancy,Консультант поддержки в Яндекс Путешествия,Яндекс Крауд: Поддержка,Москва,0,4.0,30.0,1,0,0
https://hh.ru/vacancy/98672015?hhtmFrom=vacancy_search_list,Менеджер по заполнению анкет (удаленно),ИП Кабин Дмитрий Владимирович,Москва,0,3.5,36.8,1,0,0
https://hh.ru/vacancy/98657055?hhtmFrom=vacancy_search_list,Ручной тестировщик (QA Manual Junior),Oxytocin,Москва,0,3.5,60.0,1,1,0
https://hh.ru/vacancy/93848299?utm_source=headhunter&utm_medium=vacancy_search_results&utm_campaign=vacancy_of_the_day_to&hhtmFrom=vacancy_search_list,Торговый представитель (Водитель-курьер),ЦУМ,Москва,1,4.0,170.0,1,0,0
https://hh.ru/vacancy/97615620?hhtmFrom=vacancy_search_list,Комплектовщик на склад м/ж (не ТЯЖЁЛАЯ РАБОТА),Гончар Тимофей Николаевич,Москва,0,4.0,147.0,1,0,1
https://hh.ru/vacancy/98639627?hhtmFrom=vacancy_search_list,Секретарь/Помощник руководителя,Гончар Тимофей Николаевич,Москва,0,4.0,150.0,1,1,0
https://hh.ru/vacancy/94562071?hhtmFrom=vacancy_search_list,Оператор 1С,ЭксИм Пасифик,Москва,1,4.4,107.0,1,1,0
https://hh.ru/vacancy/97920482?hhtmFrom=vacancy_search_list,Повар,Федотова Ангелина Вячеславовна,Москва,6,4.4,290.0,1,1,0
https://hh.ru/vacancy/98516994?hhtmFrom=vacancy_search_list,Ночной водитель,ООО Омега,Москва,0,3.3,120.0,1,0,0
